Date,Price,Open,High,Low,Vol.,Change %
2020-02-11,1567.72,1572.01,1573.96,1562.18,,-0.29%
2020-02-10,1572.30,1569.94,1577.16,1568.01,,0.13%
2020-02-07,1570.29,1566.96,1574.05,1562.38,,0.22%
2020-02-06,1566.85,1556.88,1568.29,1552.24,,0.65%
2020-02-05,1556.70,1552.57,1562.31,1547.20,,0.27%
2020-02-04,1552.55,1576.30,1579.54,1548.99,,-1.52%
2020-02-03,1576.45,1589.85,1591.86,1571.26,,-0.86%
2020-01-31,1590.20,1574.27,1590.20,1570.84,,1.02%
2020-01-30,1574.22,1576.98,1585.97,1572.49,,-0.18%
2020-01-29,1577.12,1566.21,1577.96,1563.10,,0.69%
2020-01-28,1566.24,1582.05,1583.17,1565.64,,-0.99%
2020-01-27,1581.95,1579.99,1586.72,1575.59,,0.72%
2020-01-24,1570.65,1563.29,1575.76,1556.16,,0.47%
2020-01-23,1563.33,1558.93,1567.94,1551.29,,0.28%
2020-01-22,1558.91,1558.03,1559.35,1549.81,,0.06%
2020-01-21,1558.02,1560.85,1568.65,1546.25,,-0.23%
2020-01-20,1561.58,1558.56,1562.81,1556.35,,0.32%
2020-01-17,1556.61,1552.90,1561.30,1549.26,,0.25%
2020-01-16,1552.79,1556.17,1558.14,1547.85,,-0.22%
2020-01-15,1556.19,1546.26,1558.23,1546.01,,0.64%
2020-01-14,1546.37,1548.31,1548.80,1535.88,,-0.12%
2020-01-13,1548.30,1562.29,1562.30,1546.52,,-0.89%
2020-01-10,1562.28,1552.26,1563.19,1545.32,,0.64%
2020-01-09,1552.37,1555.76,1561.33,1539.88,,-0.22%
2020-01-08,1555.81,1573.99,1611.00,1551.97,,-1.16%
2020-01-07,1573.99,1565.93,1577.38,1555.10,,0.51%
2020-01-06,1565.96,1560.59,1582.69,1560.59,,0.92%
2020-01-03,1551.65,1529.11,1553.45,1527.95,,1.49%
2020-01-02,1528.94,1517.13,1531.30,1517.09,,0.77%
2020-01-01,1517.30,1517.26,1517.48,1517.20,,-0.01%
2019-12-31,1517.39,1515.51,1525.59,1514.79,,0.14%
2019-12-30,1515.22,1511.49,1516.30,1509.96,,0.30%
2019-12-27,1510.67,1511.55,1515.34,1506.73,,-0.06%
2019-12-26,1511.55,1499.41,1512.55,1497.45,,0.80%
2019-12-25,1499.55,1499.55,1499.55,1499.55,,0.00%
2019-12-24,1499.56,1486.07,1501.08,1484.96,,0.95%
2019-12-23,1485.52,1478.20,1486.16,1477.50,,0.50%
2019-12-20,1478.20,1479.29,1481.06,1475.50,,-0.06%
2019-12-19,1479.15,1475.29,1481.90,1472.60,,0.25%
2019-12-18,1475.44,1476.45,1479.39,1470.10,,-0.07%
2019-12-17,1476.45,1476.25,1480.61,1474.06,,0.01%
2019-12-16,1476.25,1475.45,1479.86,1472.80,,0.03%
2019-12-13,1475.81,1469.62,1478.00,1462.41,,0.43%
2019-12-12,1469.43,1474.85,1486.90,1464.45,,-0.37%
2019-12-11,1474.85,1464.04,1478.90,1462.14,,0.73%
2019-12-10,1464.21,1462.08,1469.24,1459.55,,0.15%
